data_family,variable,description,type,unit,linked_attributes,partition,formula,base_variable,cumulative_of,no_report,synthetic_tag,synthetic_blocker,modifiers,main,main_variable,variation
02_deaths,deaths_for_female,Deaths cases by Gender (Female),indicator,qty,,"source, geo_code","deaths_for_female(reporting_date, deaths_infected)",number_of_deaths,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""gender_code"", ""value"": ""F""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,deaths_infected,by gender
02_deaths,deaths_for_male,Deaths cases by Gender (Male),indicator,qty,,"source, geo_code","deaths_for_male(reporting_date, deaths_infected)",number_of_deaths,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""gender_code"", ""value"": ""M""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,deaths_infected,by gender
02_deaths,deaths_hospitalized_rate,Ratio of number of reported deaths over the  number of hospitalized patients,indicator,people/people,,"source, geo_code","deaths_hospitalized_rate(reporting_date, hospitalised_infected_patients, deaths_infected)",,,,,,,,deaths_infected,ratio in hospitalised
02_deaths,deaths_icu_rate,Ratio of number of reported deaths over the  number of hospitalized patients in ICU,indicator,people/people,,"source, geo_code","deaths_icu_rate(reporting_date, hospitalised_infected_patients_in_icu, deaths_infected)",,,,,,,,deaths_infected,by bed_type
02_deaths,deaths_in_lctf,Number of reported deaths in long term care facilities,observation,people,,"Source, care_type, geo_code",,number_of_deaths,,,,,"[{""variable"": ""care_type"", ""value"": ""in_ltcf""}]",,,
02_deaths,deaths_infected,Number of reported deaths with confirmed evidence of the pathogen as reported by countries.,observation,people,,"Source, care_type, geo_code","cum_deaths_to_daily(reporting_period, cumulative_infected_deaths)",number_of_deaths,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": null}, {""variable"": ""bed_type"", ""value"": null}]",TRUE,deaths_infected,
02_deaths,deaths_infected_alert,Alert triggered by the number of infected deaths going over the expected using a modified version of the ears algorithm,indicator,qty,,"source, case_status, geo_code","deaths_infected_alert(reporting_date, deaths_infected)",,,,,,,,deaths_infected,alert
02_deaths,deaths_infected_hospitalised,,observation,people,,"Source, care_type, geo_code",,number_of_deaths,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": ""hospitalised""}]",,,
02_deaths,deaths_infected_in_icu,Number of deaths for the current period on ICU beds.,observation,people,,"Source, care_type, geo_code",,number_of_deaths,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"": ""bed_type"", ""value"": ""icu""}]",,,
02_deaths,excess_mortality_ltcf,Excess mortality in long term care facilities,indicator,,,"source, geo_code",,,,,,,,,,
02_deaths,excess_mortality_pscore,The P-score is the percentage difference between the reported number of weekly or monthly deaths on a period and the projected number of deaths for the same period based on previous years.,indicator,ratio,,"source, geo_code","excess_mortality(reporting_period, deaths_infected, population)",,,,fx2023,"gender_code, comorbidity_code, variant, population_type",,TRUE,excess_mortality,
02_deaths,mortality_rate,Number of deaths each 1.000.000 on a given period and region,indicator,people/people,,"source, case_status, geo_code","mortality_rate(reporting_period, deaths_infected, population)",,,,,,,,deaths_infected,ratio in population
02_deaths,number_of_deaths,Number of reported deaths independently of the reason of the death,observation,people,,"Source, care_type, geo_code",,,,,,,,,,
03_hospital capacity,admissions,Number of patients admitted into a care facility during a period of time. Variations of this variable included ratio in population and ratio in beds capacity.,observation,qty,,"source, geo_code",,,,,,,,TRUE,admissions,
03_hospital capacity,admissions_comorbidities,Number of admission with comorbidities  (underlying health condition) for COVID-19 by week and country ,indicator,qty,,"source, geo_code","admissions_comorbidities(reporting_period, admissions, bed_type)",admissions,,,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"":""population_type"", ""value"":""uhc""}]",,admissions,by comorbidity
03_hospital capacity,admissions_per_100k,Admission of patients per 100k,observation,qty,,"source, geo_code","hospital_admissions_per_100k(reporting_date, admissions, population)",,,,,,,,admissions,ratio in population
03_hospital capacity,admissions_ratio,Ratio of admissions with respect to the number of available beds,indicator,qty,,"Source, resource_type, geo_code","admissions_ratio(reporting_period, admissions, number_of_beds)",,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}]",,admissions,ratio in capacity
03_hospital capacity,available_staff,Number of staff working on a defined position. This excludes staff in short or long term leave. Variations of this variable includes the variation vs previous week,resource,people,,"source, geo_code",,,,,,,"[{""variable"": ""bed_type"", ""value"": null}, {""variable"": ""resource_type"", ""value"": null}, {""variable"": ""care_type"", ""value"": null}]",TRUE,available_staff,
03_hospital capacity,available_staff_hosp,,resource,people,,"source, geo_code","available_staff(reporting_period, icu_occupancy_ratio,  population_hcw, staff_type)",available_staff,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant","[{""variable"": ""staff_type"", ""value"": ""hospital_staff""}]",,available_staff,by staff type
03_hospital capacity,available_staff_hosp_emergency,,resource,people,,"source, geo_code","available_staff(reporting_period, icu_occupancy_ratio,  population_hcw_emergency_responders, staff_type)",available_staff,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant","[{""variable"": ""staff_type"", ""value"": ""hospital_staff_emergency""}]",,available_staff,by staff type
03_hospital capacity,available_staff_hosp_icu,,resource,people,,"source, geo_code","available_staff(reporting_period, icu_occupancy_ratio,  population_hcw_nurses, staff_type)",available_staff,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant","[{""variable"": ""staff_type"", ""value"": ""hospital_staff_icu""}]",,available_staff,by staff type
03_hospital capacity,available_staff_hosp_ward,,resource,people,,"source, geo_code","available_staff(reporting_period, icu_occupancy_ratio,  population_hcw_nurses,  staff_type)",available_staff,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant","[{""variable"": ""staff_type"", ""value"": ""hospital_staff_ward""}]",,available_staff,by staff type
03_hospital capacity,available_staff_per_100k,Number of staff available each 100.000 people on a given location and date,indicator,people/people,,"source, geo_code","available_staff_per_100k(reporting_period, available_staff, population)",,,,,,,,available_staff,ratio in population
03_hospital capacity,available_staff_phw,,resource,people,,"source, geo_code","available_staff(reporting_period, icu_occupancy_ratio,  population_phw, staff_type)",available_staff,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant","[{""variable"": ""staff_type"", ""value"": ""phw""}]",,available_staff,by staff type
03_hospital capacity,available_staff_phw_surveillance,,resource,people,,"source, geo_code","available_staff(reporting_period, icu_occupancy_ratio,  population_phw, staff_type)",available_staff,,TRUE,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant","[{""variable"": ""staff_type"", ""value"": ""phw_surveillance""}]",,available_staff,by staff type
03_hospital capacity,available_staff_variation,Ratio of variation between the current level of available staff and the staff available at the begginning of the reporting period,indicator,ratio,,"source, geo_code","available_staff_variation(reporting_period, available_staff)",,,,,,,,available_staff,ratio in capacity
03_hospital capacity,average_length_of_stay,Average length of stay in hospital or icu,observation,days,,"source, geo_code","length_of_stay(reporting_period, hospitalised_infected_patients)",,,,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type",,TRUE,average_length_of_stay,
03_hospital capacity,average_length_of_stay_at_icu,,observation,days,,"source, geo_code",,average_length_of_stay,,,,,"[{""variable"": ""bed_type"", ""value"": ""icu""}]",,,
03_hospital capacity,bed_type,,characteristic,,,,,,,,,,,,,
03_hospital capacity,beds_admissions_ratio,Ratio of admissions during a given period with respect to the number of available beds,indicator,qty,,"Source, resource_type, geo_code",,admissions_ratio,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""operable""}]",,admissions,ratio in capacity
03_hospital capacity,beds_occupancy_ratio,Ratio of occupied with respect to the number of available beds,indicator,qty,,"Source, resource_type, geo_code",,occupancy_ratio,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""operable""}]",,hospitalised_infected,ratio in capacity
03_hospital capacity,care_type,,characteristic,,,,,,,,,,,,,
03_hospital capacity,comorbidity_code,,referential,,,,,,,,,,,,,
03_hospital capacity,comorbidity_name,,referential,,,,,,,,,,,,,
03_hospital capacity,hospital_admissions,Number of patients admitted into a hospital during a period of time. Variations of this variable included ratio in population and ratio in beds capacity.,indicator,qty,,"source, geo_code","hospital_admissions(reporting_week, hospital_admissions_per_100k, population)",admissions,,,,,"[{""variable"": ""care_type"", ""value"": ""hospitalised""},{""variable"": ""bed_type"", ""value"": ""operable""}]",TRUE,admissions,
03_hospital capacity,hospital_admissions_comorbidities,Number of Hospital admission with comorbidities  (underlying health condition) for the pathogen by week and country ,indicator,qty,,"source, geo_code",,admissions,,,,,"[{""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"":""population_type"", ""value"":""uhc""}, {""variable"": ""bed_type"", ""value"": ""operable""}]",,admissions,by comorbidity
03_hospital capacity,hospital_admissions_comorbidities_per_100k,Number of Hospital admission with comorbidities (underlying health condition) each 100.000 people for the pathogen on a given period and location,indicator,qty,,"source, geo_code",,admissions_per_100k,,,"missing_real_data_2022, fx2023","age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"":""population_type"", ""value"":""uhc""}, {""variable"": ""bed_type"", ""value"": ""operable""}]",,admissions,ratio in population
03_hospital capacity,hospital_admissions_per_100k,Rate of hospital admission each 100.000 people for the pathogen on a particular period and location,observation,qty,,"source, geo_code",,admissions_per_100k,,,,,"[{""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"": ""bed_type"", ""value"": ""operable""}]",,admissions,ratio in population
03_hospital capacity,hospitalised_infected_patients,Number of patients being treated for the pathogen on a hospital during a particular period of time,observation,people,,"Source, care_type, geo_code",,number_of_patients,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"": ""bed_type"", ""value"": ""operable""}]",TRUE,hospitalised_infected,
03_hospital capacity,hospitalised_infected_patients_in_icu,Number of infected patients in icu for the pathogen during  given period and geographical location. ,observation,people,,"Source, care_type, geo_code",,number_of_patients,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"": ""bed_type"", ""value"": ""icu""}]",,hospitalised_infected,by bed_type
03_hospital capacity,hospitalised_infected_patients_in_icu_with_comorbidities,Number of infected patients in icu with comorbidities  (underlying health condition) for the pathogen during  given period and geographical location. ,observation,people,,"source, geo_code",,number_of_patients,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"": ""bed_type"", ""value"": ""icu""},  {""variable"":""population_type"", ""value"":""uhc""}]",,hospitalised_infected,by comorbidity
03_hospital capacity,hospitalised_infected_patients_in_ward,Number of infected patients in ward beds for the pathogen during  given period and geographical location. ,observation,people,,"Source, care_type, geo_code",,number_of_patients,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"": ""bed_type"", ""value"": ""ward""}]",,hospitalised_infected,by bed_type
03_hospital capacity,hospitalised_infected_patients_in_ward_with_comorbidities,Number of infected patients in ward beds with comorbidities  (underlying health condition) for the pathogen during  given period and geographical location. ,observation,people,,"source, geo_code",,number_of_patients,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"": ""bed_type"", ""value"": ""ward""},  {""variable"":""population_type"", ""value"":""uhc""}]",,hospitalised_infected,by comorbidity
03_hospital capacity,hospitalised_infected_patients_with_comorbidities,Number of infected patients with comorbidities  (underlying health condition) for the pathogen during  given period and geographical location.  ,observation,people,,"source, geo_code",,number_of_patients,,,,,"[{""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"": ""bed_type"", ""value"": ""operable""},  {""variable"":""population_type"", ""value"":""uhc""}]",,hospitalised_infected,by bed_type
03_hospital capacity,hospitalised_patients_by_age_group_0_14,Number of Hospitalised Patients by Age Group (0-14),indicator,qty,,"source, geo_code","hospitalised_patients_by_age_group_0_14(reporting_date, hospitalised_infected_patients)",number_of_patients,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""0-14""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,hospitalised_infected,by age group
03_hospital capacity,hospitalised_patients_by_age_group_15_24,Number of Hospitalised Patients by Age Group (15-24),indicator,qty,,"source, geo_code","hospitalised_patients_by_age_group_15_24(reporting_date, hospitalised_infected_patients)",number_of_patients,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""15-24""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,hospitalised_infected,by age group
03_hospital capacity,hospitalised_patients_by_age_group_25_49,Number of Hospitalised Patients by Age Group (25-49),indicator,qty,,"source, geo_code","hospitalised_patients_by_age_group_25_49(reporting_date, hospitalised_infected_patients)",number_of_patients,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""25-49""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,hospitalised_infected,by age group
03_hospital capacity,hospitalised_patients_by_age_group_50_64,Number of Hospitalised Patients by Age Group (50-64),indicator,qty,,"source, geo_code","hospitalised_patients_by_age_group_50_64(reporting_date, hospitalised_infected_patients)",number_of_patients,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""50-64""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,hospitalised_infected,by age group
03_hospital capacity,hospitalised_patients_by_age_group_65_79,Number of Hospitalised Patients by Age Group (65-79),indicator,qty,,"source, geo_code","hospitalised_patients_by_age_group_65_79(reporting_date, hospitalised_infected_patients)",number_of_patients,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""65-79""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,hospitalised_infected,by age group
03_hospital capacity,hospitalised_patients_by_age_group_80+,Number of Hospitalised Patients by Age Group (80+),indicator,qty,,"source, geo_code","hospitalised_patients_by_age_group_80+(reporting_date, hospitalised_infected_patients)",number_of_patients,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""80+""}, {""variable"": ""case_status"", ""value"": ""confirmed""}]",,hospitalised_infected,by age group
03_hospital capacity,hospitalised_patients_per_100k,Rate of hospitalized patients each 100.000 people for the pathogen on a particular period and location,indicator,qty,,"Source, care_type, geo_code","hospitalised_patients_per_100k(reporting_date, number_of_patients, population)",,,,,,,,hospitalised_infected,ratio in population
03_hospital capacity,icu_admissions,Number of ICU admissions for the pathogen on a given location and period,observation,qty,,"source, geo_code","icu_admissions(reporting_week, icu_admissions_per_100k, population)",admissions,,,,,"[{""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"": ""bed_type"", ""value"": ""icu""}]",,admissions,by bed_type
03_hospital capacity,icu_admissions_comorbidities,Number of ICU admissions of people with comorbidities (underlying condition) for the pathogen on a given location and period,indicator,qty,,"source, geo_code",,admissions,,,,,"[{""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"":""population_type"", ""value"":""uhc""}, {""variable"": ""bed_type"", ""value"": ""icu""}]",,admissions,by comorbidity
03_hospital capacity,icu_admissions_per_100k,Ratio of ICU admissions each 100.000 people for the pathogen on a given location and period,observation,qty,,"source, geo_code",,admissions_per_100k,,,,,"[{""variable"": ""care_type"", ""value"": ""hospitalised""}, {""variable"": ""bed_type"", ""value"": ""icu""}]",,admissions,ratio in population
03_hospital capacity,icu_admissions_ratio,Ratio of ICU admissions over the ICU capacity for the pathogen on a given location and period,indicator,qty,,"Source, resource_type, geo_code",,admissions_ratio,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""icu""}]",,admissions,ratio in capacity
03_hospital capacity,icu_occupancy_ratio,Ratio of ICU beds occupied over the ICU capacity for the pathogen on a given location and period,indicator,qty,,"Source, resource_type, geo_code",,occupancy_ratio,,,,,"[{""variable"": ""resource_type"", ""value"": ""bed""}, {""variable"": ""bed_type"", ""value"": ""icu""}]",,hospitalised_infected,ratio in capacity
03_hospital capacity,icu_patients_by_age_group_0_14,Number of ICU Patients by Age Group (0-14),indicator,qty,,"source, geo_code","icu_patients_by_age_group_0_14(reporting_date, hospitalised_infected_patients_in_icu)",number_of_patients,,TRUE,missing_real_data_2022,"age_group, gender_code, comorbidity_code, variant, population_type","[{""variable"": ""age_group"", ""value"": ""0-14""}, {""variable"": ""case_status"", ""value"": ""confirmed""}, {""variable"": ""bed_type"", ""value"": ""icu""}]",,hospitalised_infected,by bed_type and age_group
