Time;Age;country;indicator;synthetic_val;population
2;<25;DE;Cases;0;19905065
2;<25;DE;Hospitalisations;0;19905065
2;<25;DE;Deaths;0;19905065
2;<25;DE;Vaccination;0;19905065
2;<25;DE;ICU admissions;0;19905065
2;<25;DE;People in hospital;0;19905065
2;<25;DE;People in ICU;0;19905065
2;<25;NL;Cases;0;4850952
2;<25;NL;Hospitalisations;0;4850952
2;<25;NL;Deaths;0;4850952
2;<25;NL;Vaccination;0;4850952
2;<25;NL;ICU admissions;0;4850952
2;<25;NL;People in hospital;0;4850952
2;<25;NL;People in ICU;0;4850952
3;25-50;DE;Cases;1;25855651
3;25-50;DE;Hospitalisations;1;25855651
3;25-50;DE;Deaths;0;25855651
3;25-50;DE;Vaccination;0;25855651
3;25-50;DE;ICU admissions;0;25855651
3;25-50;DE;People in hospital;1;25855651
3;25-50;DE;People in ICU;0;25855651
3;25-50;NL;Cases;1;5479579
3;25-50;NL;Hospitalisations;1;5479579
3;25-50;NL;Deaths;0;5479579
3;25-50;NL;Vaccination;0;5479579
3;25-50;NL;ICU admissions;0;5479579
3;25-50;NL;People in hospital;1;5479579
3;25-50;NL;People in ICU;0;5479579
3;50+;DE;Cases;0;37394315
3;50+;DE;Hospitalisations;0;37394315
3;50+;DE;Deaths;0;37394315
3;50+;DE;Vaccination;0;37394315
3;50+;DE;ICU admissions;0;37394315
3;50+;DE;People in hospital;0;37394315
3;50+;DE;People in ICU;0;37394315
3;50+;NL;Cases;0;7144884
3;50+;NL;Hospitalisations;0;7144884
3;50+;NL;Deaths;0;7144884
3;50+;NL;Vaccination;0;7144884
3;50+;NL;ICU admissions;0;7144884
3;50+;NL;People in hospital;0;7144884
3;50+;NL;People in ICU;0;7144884
3;<25;DE;Cases;0;19905065
3;<25;DE;Hospitalisations;0;19905065
3;<25;DE;Deaths;0;19905065
3;<25;DE;Vaccination;0;19905065
3;<25;DE;ICU admissions;0;19905065
3;<25;DE;People in hospital;0;19905065
3;<25;DE;People in ICU;0;19905065
3;<25;NL;Cases;0;4850952
3;<25;NL;Hospitalisations;0;4850952
3;<25;NL;Deaths;0;4850952
3;<25;NL;Vaccination;0;4850952
3;<25;NL;ICU admissions;0;4850952
3;<25;NL;People in hospital;0;4850952
3;<25;NL;People in ICU;0;4850952
4;25-50;DE;Cases;0;25855651
4;25-50;DE;Hospitalisations;0;25855651
4;25-50;DE;Deaths;0;25855651
4;25-50;DE;Vaccination;0;25855651
4;25-50;DE;ICU admissions;0;25855651
4;25-50;DE;People in hospital;1;25855651
4;25-50;DE;People in ICU;0;25855651
4;25-50;NL;Cases;0;5479579
4;25-50;NL;Hospitalisations;0;5479579
4;25-50;NL;Deaths;0;5479579
4;25-50;NL;Vaccination;0;5479579
4;25-50;NL;ICU admissions;0;5479579
4;25-50;NL;People in hospital;1;5479579
4;25-50;NL;People in ICU;0;5479579
4;50+;DE;Cases;0;37394315
4;50+;DE;Hospitalisations;0;37394315
4;50+;DE;Deaths;0;37394315
4;50+;DE;Vaccination;0;37394315
4;50+;DE;ICU admissions;0;37394315
4;50+;DE;People in hospital;0;37394315
4;50+;DE;People in ICU;0;37394315
4;50+;NL;Cases;0;7144884
4;50+;NL;Hospitalisations;0;7144884
4;50+;NL;Deaths;0;7144884
4;50+;NL;Vaccination;0;7144884
4;50+;NL;ICU admissions;0;7144884
4;50+;NL;People in hospital;0;7144884
4;50+;NL;People in ICU;0;7144884
4;<25;DE;Cases;0;19905065
4;<25;DE;Hospitalisations;0;19905065
4;<25;DE;Deaths;0;19905065
4;<25;DE;Vaccination;0;19905065
4;<25;DE;ICU admissions;0;19905065
4;<25;DE;People in hospital;0;19905065
4;<25;DE;People in ICU;0;19905065
4;<25;NL;Cases;0;4850952
4;<25;NL;Hospitalisations;0;4850952
4;<25;NL;Deaths;0;4850952
4;<25;NL;Vaccination;0;4850952
4;<25;NL;ICU admissions;0;4850952
4;<25;NL;People in hospital;0;4850952
4;<25;NL;People in ICU;0;4850952
5;25-50;DE;Cases;1;25855651
5;25-50;DE;Hospitalisations;1;25855651
5;25-50;DE;Deaths;0;25855651
5;25-50;DE;Vaccination;0;25855651
5;25-50;DE;ICU admissions;0;25855651
5;25-50;DE;People in hospital;2;25855651
5;25-50;DE;People in ICU;0;25855651
5;25-50;NL;Cases;1;5479579
5;25-50;NL;Hospitalisations;1;5479579
5;25-50;NL;Deaths;0;5479579
5;25-50;NL;Vaccination;0;5479579
5;25-50;NL;ICU admissions;0;5479579
5;25-50;NL;People in hospital;2;5479579
5;25-50;NL;People in ICU;0;5479579
5;50+;DE;Cases;0;37394315
5;50+;DE;Hospitalisations;0;37394315
5;50+;DE;Deaths;0;37394315
5;50+;DE;Vaccination;0;37394315
5;50+;DE;ICU admissions;0;37394315
5;50+;DE;People in hospital;0;37394315
5;50+;DE;People in ICU;0;37394315
5;50+;NL;Cases;0;7144884
5;50+;NL;Hospitalisations;0;7144884
5;50+;NL;Deaths;0;7144884
5;50+;NL;Vaccination;0;7144884
5;50+;NL;ICU admissions;0;7144884
5;50+;NL;People in hospital;0;7144884
5;50+;NL;People in ICU;0;7144884
5;<25;DE;Cases;1;19905065
5;<25;DE;Hospitalisations;0;19905065
5;<25;DE;Deaths;0;19905065
5;<25;DE;Vaccination;0;19905065
5;<25;DE;ICU admissions;0;19905065
5;<25;DE;People in hospital;0;19905065
5;<25;DE;People in ICU;0;19905065
5;<25;NL;Cases;1;4850952
5;<25;NL;Hospitalisations;0;4850952
5;<25;NL;Deaths;0;4850952
5;<25;NL;Vaccination;0;4850952
5;<25;NL;ICU admissions;0;4850952
5;<25;NL;People in hospital;0;4850952
5;<25;NL;People in ICU;0;4850952
6;25-50;DE;Cases;0;25855651
6;25-50;DE;Hospitalisations;0;25855651
6;25-50;DE;Deaths;0;25855651
6;25-50;DE;Vaccination;0;25855651
6;25-50;DE;ICU admissions;0;25855651
6;25-50;DE;People in hospital;2;25855651
6;25-50;DE;People in ICU;0;25855651
6;25-50;NL;Cases;0;5479579
6;25-50;NL;Hospitalisations;0;5479579
6;25-50;NL;Deaths;0;5479579
6;25-50;NL;Vaccination;0;5479579
6;25-50;NL;ICU admissions;0;5479579
6;25-50;NL;People in hospital;2;5479579
6;25-50;NL;People in ICU;0;5479579
6;50+;DE;Cases;0;37394315
6;50+;DE;Hospitalisations;0;37394315
6;50+;DE;Deaths;0;37394315
6;50+;DE;Vaccination;0;37394315
6;50+;DE;ICU admissions;0;37394315
6;50+;DE;People in hospital;0;37394315
6;50+;DE;People in ICU;0;37394315
6;50+;NL;Cases;0;7144884
6;50+;NL;Hospitalisations;0;7144884
6;50+;NL;Deaths;0;7144884
6;50+;NL;Vaccination;0;7144884
6;50+;NL;ICU admissions;0;7144884
6;50+;NL;People in hospital;0;7144884
6;50+;NL;People in ICU;0;7144884
6;<25;DE;Cases;0;19905065
6;<25;DE;Hospitalisations;0;19905065
6;<25;DE;Deaths;0;19905065
6;<25;DE;Vaccination;0;19905065
6;<25;DE;ICU admissions;0;19905065
6;<25;DE;People in hospital;0;19905065
6;<25;DE;People in ICU;0;19905065
6;<25;NL;Cases;0;4850952
6;<25;NL;Hospitalisations;0;4850952
6;<25;NL;Deaths;0;4850952
6;<25;NL;Vaccination;0;4850952
6;<25;NL;ICU admissions;0;4850952
6;<25;NL;People in hospital;0;4850952
6;<25;NL;People in ICU;0;4850952
7;25-50;DE;Cases;0;25855651
7;25-50;DE;Hospitalisations;0;25855651
7;25-50;DE;Deaths;0;25855651
7;25-50;DE;Vaccination;0;25855651
7;25-50;DE;ICU admissions;0;25855651
7;25-50;DE;People in hospital;2;25855651
7;25-50;DE;People in ICU;0;25855651
7;25-50;NL;Cases;0;5479579
7;25-50;NL;Hospitalisations;0;5479579
7;25-50;NL;Deaths;0;5479579
7;25-50;NL;Vaccination;0;5479579
7;25-50;NL;ICU admissions;0;5479579
7;25-50;NL;People in hospital;2;5479579
7;25-50;NL;People in ICU;0;5479579
7;50+;DE;Cases;0;37394315
7;50+;DE;Hospitalisations;0;37394315
7;50+;DE;Deaths;0;37394315
7;50+;DE;Vaccination;0;37394315
7;50+;DE;ICU admissions;0;37394315
7;50+;DE;People in hospital;0;37394315
7;50+;DE;People in ICU;0;37394315
7;50+;NL;Cases;0;7144884
7;50+;NL;Hospitalisations;0;7144884
7;50+;NL;Deaths;0;7144884
7;50+;NL;Vaccination;0;7144884
7;50+;NL;ICU admissions;0;7144884
7;50+;NL;People in hospital;0;7144884
7;50+;NL;People in ICU;0;7144884
7;<25;DE;Cases;0;19905065
7;<25;DE;Hospitalisations;0;19905065
7;<25;DE;Deaths;0;19905065
7;<25;DE;Vaccination;0;19905065
7;<25;DE;ICU admissions;0;19905065
7;<25;DE;People in hospital;0;19905065
7;<25;DE;People in ICU;0;19905065
7;<25;NL;Cases;0;4850952
7;<25;NL;Hospitalisations;0;4850952
7;<25;NL;Deaths;0;4850952
7;<25;NL;Vaccination;0;4850952
7;<25;NL;ICU admissions;0;4850952
7;<25;NL;People in hospital;0;4850952
7;<25;NL;People in ICU;0;4850952
8;25-50;DE;Cases;0;25855651
8;25-50;DE;Hospitalisations;0;25855651
8;25-50;DE;Deaths;0;25855651
8;25-50;DE;Vaccination;0;25855651
8;25-50;DE;ICU admissions;0;25855651
8;25-50;DE;People in hospital;2;25855651
8;25-50;DE;People in ICU;0;25855651
8;25-50;NL;Cases;0;5479579
8;25-50;NL;Hospitalisations;0;5479579
8;25-50;NL;Deaths;0;5479579
8;25-50;NL;Vaccination;0;5479579
8;25-50;NL;ICU admissions;0;5479579
8;25-50;NL;People in hospital;2;5479579
8;25-50;NL;People in ICU;0;5479579
8;50+;DE;Cases;0;37394315
8;50+;DE;Hospitalisations;0;37394315
8;50+;DE;Deaths;0;37394315
8;50+;DE;Vaccination;0;37394315
8;50+;DE;ICU admissions;0;37394315
8;50+;DE;People in hospital;0;37394315
8;50+;DE;People in ICU;0;37394315
8;50+;NL;Cases;0;7144884
8;50+;NL;Hospitalisations;0;7144884
8;50+;NL;Deaths;0;7144884
8;50+;NL;Vaccination;0;7144884
8;50+;NL;ICU admissions;0;7144884
8;50+;NL;People in hospital;0;7144884
8;50+;NL;People in ICU;0;7144884
8;<25;DE;Cases;0;19905065
8;<25;DE;Hospitalisations;0;19905065
8;<25;DE;Deaths;0;19905065
8;<25;DE;Vaccination;0;19905065
8;<25;DE;ICU admissions;0;19905065
8;<25;DE;People in hospital;0;19905065
8;<25;DE;People in ICU;0;19905065
8;<25;NL;Cases;0;4850952
8;<25;NL;Hospitalisations;0;4850952
8;<25;NL;Deaths;0;4850952
8;<25;NL;Vaccination;0;4850952
8;<25;NL;ICU admissions;0;4850952
8;<25;NL;People in hospital;0;4850952
8;<25;NL;People in ICU;0;4850952
9;25-50;DE;Cases;0;25855651
9;25-50;DE;Hospitalisations;0;25855651
9;25-50;DE;Deaths;0;25855651
9;25-50;DE;Vaccination;0;25855651
9;25-50;DE;ICU admissions;0;25855651
9;25-50;DE;People in hospital;2;25855651
9;25-50;DE;People in ICU;0;25855651
9;25-50;NL;Cases;0;5479579
9;25-50;NL;Hospitalisations;0;5479579
9;25-50;NL;Deaths;0;5479579
9;25-50;NL;Vaccination;0;5479579
9;25-50;NL;ICU admissions;0;5479579
9;25-50;NL;People in hospital;2;5479579
9;25-50;NL;People in ICU;0;5479579
9;50+;DE;Cases;0;37394315
9;50+;DE;Hospitalisations;0;37394315
9;50+;DE;Deaths;0;37394315
9;50+;DE;Vaccination;0;37394315
9;50+;DE;ICU admissions;0;37394315
9;50+;DE;People in hospital;0;37394315
9;50+;DE;People in ICU;0;37394315
9;50+;NL;Cases;0;7144884
9;50+;NL;Hospitalisations;0;7144884
9;50+;NL;Deaths;0;7144884
9;50+;NL;Vaccination;0;7144884
9;50+;NL;ICU admissions;0;7144884
9;50+;NL;People in hospital;0;7144884
9;50+;NL;People in ICU;0;7144884
9;<25;DE;Cases;0;19905065
9;<25;DE;Hospitalisations;0;19905065
9;<25;DE;Deaths;0;19905065
9;<25;DE;Vaccination;0;19905065
9;<25;DE;ICU admissions;0;19905065
9;<25;DE;People in hospital;0;19905065
9;<25;DE;People in ICU;0;19905065
9;<25;NL;Cases;0;4850952
9;<25;NL;Hospitalisations;0;4850952
9;<25;NL;Deaths;0;4850952
9;<25;NL;Vaccination;0;4850952
9;<25;NL;ICU admissions;0;4850952
9;<25;NL;People in hospital;0;4850952
9;<25;NL;People in ICU;0;4850952
10;25-50;DE;Cases;0;25855651
10;25-50;DE;Hospitalisations;0;25855651
10;25-50;DE;Deaths;0;25855651
10;25-50;DE;Vaccination;0;25855651
10;25-50;DE;ICU admissions;1;25855651
10;25-50;DE;People in hospital;2;25855651
10;25-50;DE;People in ICU;1;25855651
10;25-50;NL;Cases;0;5479579
10;25-50;NL;Hospitalisations;0;5479579
10;25-50;NL;Deaths;0;5479579
10;25-50;NL;Vaccination;0;5479579
10;25-50;NL;ICU admissions;1;5479579
10;25-50;NL;People in hospital;2;5479579
10;25-50;NL;People in ICU;1;5479579
10;50+;DE;Cases;0;37394315
10;50+;DE;Hospitalisations;0;37394315
10;50+;DE;Deaths;0;37394315
10;50+;DE;Vaccination;0;37394315
10;50+;DE;ICU admissions;0;37394315
10;50+;DE;People in hospital;0;37394315
10;50+;DE;People in ICU;0;37394315
10;50+;NL;Cases;0;7144884
10;50+;NL;Hospitalisations;0;7144884
10;50+;NL;Deaths;0;7144884
10;50+;NL;Vaccination;0;7144884
10;50+;NL;ICU admissions;0;7144884
10;50+;NL;People in hospital;0;7144884
10;50+;NL;People in ICU;0;7144884
10;<25;DE;Cases;1;19905065
10;<25;DE;Hospitalisations;0;19905065
10;<25;DE;Deaths;0;19905065
10;<25;DE;Vaccination;0;19905065
10;<25;DE;ICU admissions;0;19905065
10;<25;DE;People in hospital;0;19905065
10;<25;DE;People in ICU;0;19905065
10;<25;NL;Cases;1;4850952
10;<25;NL;Hospitalisations;0;4850952
10;<25;NL;Deaths;0;4850952
10;<25;NL;Vaccination;0;4850952
10;<25;NL;ICU admissions;0;4850952
10;<25;NL;People in hospital;0;4850952
10;<25;NL;People in ICU;0;4850952
11;25-50;DE;Cases;0;25855651
11;25-50;DE;Hospitalisations;0;25855651
11;25-50;DE;Deaths;0;25855651
11;25-50;DE;Vaccination;0;25855651
11;25-50;DE;ICU admissions;0;25855651
11;25-50;DE;People in hospital;2;25855651
11;25-50;DE;People in ICU;1;25855651
11;25-50;NL;Cases;0;5479579
11;25-50;NL;Hospitalisations;0;5479579
11;25-50;NL;Deaths;0;5479579
11;25-50;NL;Vaccination;0;5479579
11;25-50;NL;ICU admissions;0;5479579
11;25-50;NL;People in hospital;2;5479579
11;25-50;NL;People in ICU;1;5479579
11;50+;DE;Cases;1;37394315
11;50+;DE;Hospitalisations;1;37394315
11;50+;DE;Deaths;0;37394315
11;50+;DE;Vaccination;0;37394315
11;50+;DE;ICU admissions;0;37394315
11;50+;DE;People in hospital;1;37394315
11;50+;DE;People in ICU;0;37394315
11;50+;NL;Cases;1;7144884
11;50+;NL;Hospitalisations;1;7144884
11;50+;NL;Deaths;0;7144884
11;50+;NL;Vaccination;0;7144884
11;50+;NL;ICU admissions;0;7144884
11;50+;NL;People in hospital;1;7144884
11;50+;NL;People in ICU;0;7144884
11;<25;DE;Cases;10;19905065
11;<25;DE;Hospitalisations;0;19905065
11;<25;DE;Deaths;0;19905065
11;<25;DE;Vaccination;0;19905065
11;<25;DE;ICU admissions;0;19905065
11;<25;DE;People in hospital;0;19905065
11;<25;DE;People in ICU;0;19905065
11;<25;NL;Cases;10;4850952
11;<25;NL;Hospitalisations;0;4850952
11;<25;NL;Deaths;0;4850952
11;<25;NL;Vaccination;0;4850952
11;<25;NL;ICU admissions;0;4850952
11;<25;NL;People in hospital;0;4850952
11;<25;NL;People in ICU;0;4850952
12;25-50;DE;Cases;6;25855651
12;25-50;DE;Hospitalisations;0;25855651
12;25-50;DE;Deaths;2;25855651
12;25-50;DE;Vaccination;0;25855651
12;25-50;DE;ICU admissions;0;25855651
12;25-50;DE;People in hospital;0;25855651
12;25-50;DE;People in ICU;0;25855651
12;25-50;NL;Cases;6;5479579
12;25-50;NL;Hospitalisations;0;5479579
12;25-50;NL;Deaths;2;5479579
12;25-50;NL;Vaccination;0;5479579
12;25-50;NL;ICU admissions;0;5479579
12;25-50;NL;People in hospital;0;5479579
12;25-50;NL;People in ICU;0;5479579
12;50+;DE;Cases;6;37394315
12;50+;DE;Hospitalisations;0;37394315
12;50+;DE;Deaths;0;37394315
12;50+;DE;Vaccination;0;37394315
12;50+;DE;ICU admissions;0;37394315
12;50+;DE;People in hospital;1;37394315
12;50+;DE;People in ICU;0;37394315
12;50+;NL;Cases;6;7144884
12;50+;NL;Hospitalisations;0;7144884
12;50+;NL;Deaths;0;7144884
12;50+;NL;Vaccination;0;7144884
12;50+;NL;ICU admissions;0;7144884
12;50+;NL;People in hospital;1;7144884
12;50+;NL;People in ICU;0;7144884
12;<25;DE;Cases;5;19905065
12;<25;DE;Hospitalisations;0;19905065
12;<25;DE;Deaths;0;19905065
12;<25;DE;Vaccination;0;19905065
12;<25;DE;ICU admissions;0;19905065
12;<25;DE;People in hospital;0;19905065
12;<25;DE;People in ICU;0;19905065
12;<25;NL;Cases;5;4850952
12;<25;NL;Hospitalisations;0;4850952
12;<25;NL;Deaths;0;4850952
12;<25;NL;Vaccination;0;4850952
12;<25;NL;ICU admissions;0;4850952
12;<25;NL;People in hospital;0;4850952
12;<25;NL;People in ICU;0;4850952
13;25-50;DE;Cases;5;25855651
13;25-50;DE;Hospitalisations;1;25855651
13;25-50;DE;Deaths;0;25855651
13;25-50;DE;Vaccination;0;25855651
13;25-50;DE;ICU admissions;0;25855651
13;25-50;DE;People in hospital;1;25855651
13;25-50;DE;People in ICU;0;25855651
13;25-50;NL;Cases;5;5479579
13;25-50;NL;Hospitalisations;0;5479579
13;25-50;NL;Deaths;0;5479579
13;25-50;NL;Vaccination;0;5479579
13;25-50;NL;ICU admissions;0;5479579
13;25-50;NL;People in hospital;0;5479579
13;25-50;NL;People in ICU;0;5479579
13;50+;DE;Cases;6;37394315
13;50+;DE;Hospitalisations;0;37394315
13;50+;DE;Deaths;0;37394315
13;50+;DE;Vaccination;0;37394315
13;50+;DE;ICU admissions;0;37394315
13;50+;DE;People in hospital;0;37394315
13;50+;DE;People in ICU;0;37394315
13;50+;NL;Cases;6;7144884
13;50+;NL;Hospitalisations;0;7144884
13;50+;NL;Deaths;0;7144884
13;50+;NL;Vaccination;0;7144884
13;50+;NL;ICU admissions;0;7144884
13;50+;NL;People in hospital;1;7144884
13;50+;NL;People in ICU;0;7144884
13;<25;DE;Cases;18;19905065
13;<25;DE;Hospitalisations;0;19905065
13;<25;DE;Deaths;0;19905065
13;<25;DE;Vaccination;0;19905065
13;<25;DE;ICU admissions;0;19905065
13;<25;DE;People in hospital;0;19905065
13;<25;DE;People in ICU;0;19905065
13;<25;NL;Cases;18;4850952
13;<25;NL;Hospitalisations;0;4850952
13;<25;NL;Deaths;0;4850952
13;<25;NL;Vaccination;0;4850952
13;<25;NL;ICU admissions;0;4850952
13;<25;NL;People in hospital;0;4850952
13;<25;NL;People in ICU;0;4850952
14;25-50;DE;Cases;15;25855651
14;25-50;DE;Hospitalisations;0;25855651
14;25-50;DE;Deaths;0;25855651
14;25-50;DE;Vaccination;0;25855651
14;25-50;DE;ICU admissions;0;25855651
14;25-50;DE;People in hospital;0;25855651
14;25-50;DE;People in ICU;1;25855651
14;25-50;NL;Cases;5;5479579
14;25-50;NL;Hospitalisations;0;5479579
14;25-50;NL;Deaths;0;5479579
14;25-50;NL;Vaccination;0;5479579
14;25-50;NL;ICU admissions;0;5479579
14;25-50;NL;People in hospital;1;5479579
14;25-50;NL;People in ICU;0;5479579
14;50+;DE;Cases;9;37394315
14;50+;DE;Hospitalisations;0;37394315
14;50+;DE;Deaths;0;37394315
14;50+;DE;Vaccination;0;37394315
14;50+;DE;ICU admissions;0;37394315
14;50+;DE;People in hospital;0;37394315
14;50+;DE;People in ICU;0;37394315
14;50+;NL;Cases;3;7144884
14;50+;NL;Hospitalisations;0;7144884
14;50+;NL;Deaths;0;7144884
14;50+;NL;Vaccination;0;7144884
14;50+;NL;ICU admissions;0;7144884
14;50+;NL;People in hospital;0;7144884
14;50+;NL;People in ICU;0;7144884
14;<25;DE;Cases;20;19905065
14;<25;DE;Hospitalisations;1;19905065
14;<25;DE;Deaths;0;19905065
14;<25;DE;Vaccination;0;19905065
14;<25;DE;ICU admissions;0;19905065
14;<25;DE;People in hospital;0;19905065
14;<25;DE;People in ICU;0;19905065
14;<25;NL;Cases;2;4850952
14;<25;NL;Hospitalisations;0;4850952
14;<25;NL;Deaths;0;4850952
14;<25;NL;Vaccination;0;4850952
14;<25;NL;ICU admissions;1;4850952
14;<25;NL;People in hospital;0;4850952
14;<25;NL;People in ICU;0;4850952
15;25-50;DE;Cases;13;25855651
15;25-50;DE;Hospitalisations;0;25855651
15;25-50;DE;Deaths;1;25855651
15;25-50;DE;Vaccination;0;25855651
15;25-50;DE;ICU admissions;0;25855651
15;25-50;DE;People in hospital;5;25855651
15;25-50;DE;People in ICU;0;25855651
15;25-50;NL;Cases;2;5479579
15;25-50;NL;Hospitalisations;0;5479579
15;25-50;NL;Deaths;0;5479579
15;25-50;NL;Vaccination;0;5479579
15;25-50;NL;ICU admissions;0;5479579
15;25-50;NL;People in hospital;0;5479579
15;25-50;NL;People in ICU;0;5479579
15;50+;DE;Cases;11;37394315
15;50+;DE;Hospitalisations;0;37394315
15;50+;DE;Deaths;0;37394315
15;50+;DE;Vaccination;0;37394315
15;50+;DE;ICU admissions;0;37394315
15;50+;DE;People in hospital;0;37394315
15;50+;DE;People in ICU;0;37394315
15;50+;NL;Cases;2;7144884
15;50+;NL;Hospitalisations;0;7144884
15;50+;NL;Deaths;0;7144884
15;50+;NL;Vaccination;0;7144884
15;50+;NL;ICU admissions;0;7144884
15;50+;NL;People in hospital;0;7144884
15;50+;NL;People in ICU;0;7144884
15;<25;DE;Cases;19;19905065
15;<25;DE;Hospitalisations;1;19905065
15;<25;DE;Deaths;0;19905065
15;<25;DE;Vaccination;0;19905065
15;<25;DE;ICU admissions;0;19905065
15;<25;DE;People in hospital;0;19905065
15;<25;DE;People in ICU;0;19905065
15;<25;NL;Cases;4;4850952
15;<25;NL;Hospitalisations;0;4850952
15;<25;NL;Deaths;0;4850952
15;<25;NL;Vaccination;0;4850952
15;<25;NL;ICU admissions;0;4850952
15;<25;NL;People in hospital;1;4850952
15;<25;NL;People in ICU;0;4850952
16;25-50;DE;Cases;24;25855651
16;25-50;DE;Hospitalisations;1;25855651
16;25-50;DE;Deaths;0;25855651
16;25-50;DE;Vaccination;0;25855651
16;25-50;DE;ICU admissions;0;25855651
16;25-50;DE;People in hospital;4;25855651
16;25-50;DE;People in ICU;0;25855651
16;25-50;NL;Cases;7;5479579
16;25-50;NL;Hospitalisations;0;5479579
16;25-50;NL;Deaths;0;5479579
16;25-50;NL;Vaccination;0;5479579
16;25-50;NL;ICU admissions;0;5479579
16;25-50;NL;People in hospital;0;5479579
16;25-50;NL;People in ICU;0;5479579
