Time,Age,model_val,synthetic_val,indicator,country
19,B,20.167954683899993,26,Cases,Netherlands
19,C,14.4242816095,17,Cases,Netherlands
20,A,28.787683908700004,41,Cases,Netherlands
20,B,26.341974892099998,34,Cases,Netherlands
20,C,18.860403186,23,Cases,Netherlands
21,A,37.50680083799999,42,Cases,Netherlands
21,B,34.396171665,20,Cases,Netherlands
21,C,24.6480289238,37,Cases,Netherlands
22,A,48.87912514999999,30,Cases,Netherlands
22,B,44.902841548,15,Cases,Netherlands
22,C,32.19856020500001,66,Cases,Netherlands
23,A,63.712088961999996,50,Cases,Netherlands
23,B,58.608408126,31,Cases,Netherlands
23,C,42.04859290900001,51,Cases,Netherlands
24,A,83.05871513900001,114,Cases,Netherlands
24,B,76.486356908,48,Cases,Netherlands
24,C,54.897990238999995,41,Cases,Netherlands
25,A,108.29222150300001,71,Cases,Netherlands
25,B,99.80623068400001,21,Cases,Netherlands
25,C,71.65951651,114,Cases,Netherlands
26,A,141.203221102,117,Cases,Netherlands
26,B,130.22353578899998,193,Cases,Netherlands
26,C,93.52353025499997,32,Cases,Netherlands
27,A,184.12631544600004,165,Cases,Netherlands
27,B,169.896859018,129,Cases,Netherlands
27,C,122.04228497700007,199,Cases,Netherlands
28,A,240.10488918400006,105,Cases,Netherlands
28,B,221.64036601200007,256,Cases,Netherlands
28,C,159.23974506499997,161,Cases,Netherlands
29,A,313.1054981499999,160,Cases,Netherlands
29,B,289.122260211,626,Cases,Netherlands
29,C,207.75457934300005,229,Cases,Netherlands
30,A,408.2965442500001,425,Cases,Netherlands
30,B,377.12286713000003,374,Cases,Netherlands
30,C,271.02625368099996,219,Cases,Netherlands
31,A,532.4101206899998,1043,Cases,Netherlands
31,B,491.86993992,715,Cases,Netherlands
31,C,353.53703885000004,257,Cases,Netherlands
32,A,694.2111802200002,729,Cases,Netherlands
32,B,641.4737500000001,904,Cases,Netherlands
32,C,461.12643862000004,767,Cases,Netherlands
33,A,905.1047183800001,861,Cases,Netherlands
33,B,836.4907374699997,767,Cases,Netherlands
33,C,601.3992056099999,887,Cases,Netherlands
34,A,1179.9196319400003,2312,Cases,Netherlands
34,B,1090.6521400399997,840,Cases,Netherlands
34,C,784.2539444700001,659,Cases,Netherlands
35,A,1537.9173589299999,837,Cases,Netherlands
35,B,1421.8032219000006,1393,Cases,Netherlands
35,C,1022.5664833100004,1370,Cases,Netherlands
36,A,2004.0841381700002,2368,Cases,Netherlands
36,B,1853.10943297,1137,Cases,Netherlands
36,C,1333.0708487099992,1315,Cases,Netherlands
37,A,2610.777067089999,1658,Cases,Netherlands
37,B,2414.5976320699992,2293,Cases,Netherlands
37,C,1737.4907656200003,1316,Cases,Netherlands
38,A,3399.8045127000005,2842,Cases,Netherlands
38,B,3145.1122926000007,6058,Cases,Netherlands
38,C,2263.985752040001,1033,Cases,Netherlands
39,A,4425.0276808,3272,Cases,Netherlands
39,B,4094.776006,2160,Cases,Netherlands
39,C,2948.9870749599995,1214,Cases,Netherlands
40,A,5755.566410800002,6106,Cases,Netherlands
40,B,5328.0460520000015,2764,Cases,Netherlands
40,C,3839.507915100001,2119,Cases,Netherlands
41,A,7479.668247099999,8154,Cases,Netherlands
41,B,6927.446124399998,2523,Cases,Netherlands
41,C,4996.014889399998,5118,Cases,Netherlands
42,A,9709.2382822,9561,Cases,Netherlands
42,B,8998.010445400003,9469,Cases,Netherlands
42,C,6495.9371331,9259,Cases,Netherlands
43,A,12584.9005349,12566,Cases,Netherlands
43,B,11672.383498700001,11189,Cases,Netherlands
43,C,8437.851675200003,18618,Cases,Netherlands
44,A,16281.227736099994,24866,Cases,Netherlands
44,B,15116.336662200003,19184,Cases,Netherlands
44,C,10946.2990967,21109,Cases,Netherlands
45,A,21011.376134900012,34996,Cases,Netherlands
45,B,19534.140748799997,12860,Cases,Netherlands
45,C,14177.019331299998,26456,Cases,Netherlands
46,A,27029.721065399994,26768,Cases,Netherlands
46,B,25172.701060699997,21587,Cases,Netherlands
46,C,18322.107586199993,15220,Cases,Netherlands
47,A,34630.13455199999,31932,Cases,Netherlands
47,B,32322.540387999994,39242,Cases,Netherlands
47,C,23614.1141757,19382,Cases,Netherlands
48,A,44136.25384300001,29944,Cases,Netherlands
48,B,41312.549113000015,17154,Cases,Netherlands
48,C,30327.384122000003,33306,Cases,Netherlands
49,A,55878.58735799999,61708,Cases,Netherlands
49,B,52493.95174399999,55832,Cases,Netherlands
49,C,38773.912228,33249,Cases,Netherlands
50,A,70152.05870800003,56332,Cases,Netherlands
50,B,66207.45294000002,44099,Cases,Netherlands
50,C,49289.73065400001,26111,Cases,Netherlands
51,A,87147.664369,97331,Cases,Netherlands
51,B,82726.78724799998,72113,Cases,Netherlands
51,C,62206.62393200002,23883,Cases,Netherlands
52,A,106855.18343499996,121263,Cases,Netherlands
52,B,102173.39942799998,74478,Cases,Netherlands
52,C,77803.46425999998,49011,Cases,Netherlands
53,A,128942.77220199996,121677,Cases,Netherlands
53,B,124402.97330300004,131692,Cases,Netherlands
53,C,96232.93980399997,69865,Cases,Netherlands
54,A,152635.49020900007,207104,Cases,Netherlands
54,B,148877.26113500004,148329,Cases,Netherlands
54,C,117424.67948599998,61306,Cases,Netherlands
55,A,176636.25297100004,192055,Cases,Netherlands
55,B,174554.203156,172437,Cases,Netherlands
55,C,140976.2907270001,47805,Cases,Netherlands
56,A,199149.6737589999,234073,Cases,Netherlands
56,B,199849.91720200004,188699,Cases,Netherlands
56,C,166059.10154299997,108852,Cases,Netherlands
57,A,218063.77643000009,255608,Cases,Netherlands
57,B,222733.61774999998,114206,Cases,Netherlands
57,C,191380.34166000003,165475,Cases,Netherlands
58,A,231299.56582999998,215443,Cases,Netherlands
58,B,240992.31524999999,205312,Cases,Netherlands
58,C,215247.39763999986,499464,Cases,Netherlands
59,A,237257.77251999988,341523,Cases,Netherlands
59,B,252638.27857999993,362874,Cases,Netherlands
59,C,235760.45565000013,347708,Cases,Netherlands
60,A,235215.67797000008,408007,Cases,Netherlands
60,B,256350.2736000002,384905,Cases,Netherlands
60,C,251114.36091000005,311495,Cases,Netherlands
61,A,225514.2321899999,167604,Cases,Netherlands
61,B,251790.87727999967,272267,Cases,Netherlands
61,C,259935.55088,153024,Cases,Netherlands
62,A,209454.7892400003,81233,Cases,Netherlands
62,B,239672.9964800002,130022,Cases,Netherlands
62,C,261548.13596999994,445127,Cases,Netherlands
63,A,188954.52907999977,163664,Cases,Netherlands
63,B,221553.54740000004,109733,Cases,Netherlands
63,C,256080.5920500001,319198,Cases,Netherlands
64,A,166106.3832200002,131493,Cases,Netherlands
64,B,199447.71380000003,291839,Cases,Netherlands
64,C,244386.19433999993,295035,Cases,Netherlands
65,A,142798.54411999974,49518,Cases,Netherlands
65,B,175413.13082000008,115704,Cases,Netherlands
65,C,227820.92235999973,196002,Cases,Netherlands
66,A,120484.67237000028,147255,Cases,Netherlands
66,B,151229.17640999984,107495,Cases,Netherlands
66,C,207963.76867000014,151589,Cases,Netherlands
67,A,100114.45202999981,43237,Cases,Netherlands
67,B,128226.52309999987,167701,Cases,Netherlands
67,C,186362.18521999987,78173,Cases,Netherlands
68,A,82180.6009399998,85702,Cases,Netherlands
68,B,107255.53813000023,49847,Cases,Netherlands
68,C,164353.30249000015,147495,Cases,Netherlands
69,A,66823.96761000017,59732,Cases,Netherlands
69,B,88746.8404600001,92016,Cases,Netherlands
69,C,142973.50162999984,109210,Cases,Netherlands
70,A,53949.86683000019,40260,Cases,Netherlands
70,B,72813.3002899997,43611,Cases,Netherlands
70,C,122941.97355000023,91051,Cases,Netherlands
71,A,43328.635220000055,60489,Cases,Netherlands
71,B,59356.06208000006,99205,Cases,Netherlands
71,C,104692.70276999986,132356,Cases,Netherlands
72,A,34670.32757999981,86189,Cases,Netherlands
72,B,48154.21853000019,64594,Cases,Netherlands
72,C,88430.04732999997,83331,Cases,Netherlands
73,A,27673.88831999991,32853,Cases,Netherlands
73,B,38931.181099999696,31886,Cases,Netherlands
73,C,74189.58487999998,71695,Cases,Netherlands
74,A,22055.786129999906,23693,Cases,Netherlands
74,B,31398.73162000021,17737,Cases,Netherlands
74,C,61893.37293000007,57942,Cases,Netherlands
75,A,17564.106420000084,8245,Cases,Netherlands
75,B,25283.18696000008,24664,Cases,Netherlands
75,C,51394.7919300003,49775,Cases,Netherlands
76,A,13983.341530000325,10843,Cases,Netherlands
76,B,20338.785439999774,27071,Cases,Netherlands
76,C,42512.050009999424,44599,Cases,Netherlands
77,A,11133.801389999688,5952,Cases,Netherlands
77,B,16352.747160000261,19752,Cases,Netherlands
77,C,35051.50956000015,36347,Cases,Netherlands
78,A,8868.294550000224,6280,Cases,Netherlands
78,B,13145.376739999745,17604,Cases,Netherlands
78,C,28822.816220000386,39093,Cases,Netherlands
79,A,7067.724159999751,5201,Cases,Netherlands
79,B,10567.526940000243,8429,Cases,Netherlands
79,C,23647.901060000062,50643,Cases,Netherlands
80,A,5636.53665000014,4604,Cases,Netherlands
80,B,8496.90027999971,8708,Cases,Netherlands
80,C,19365.667989999987,17828,Cases,Netherlands
81,A,4498.502419999801,5578,Cases,Netherlands
81,B,6834.062100000214,5241,Cases,Netherlands
81,C,15833.802709999494,14498,Cases,Netherlands
82,A,3593.0315300002694,4453,Cases,Netherlands
82,B,5498.636679999996,4192,Cases,Netherlands
82,C,12928.769350000657,6788,Cases,Netherlands
83,A,2872.072639999911,4478,Cases,Netherlands
83,B,4425.907679999713,4901,Cases,Netherlands
83,C,10544.746479999274,7037,Cases,Netherlands
84,A,2297.563589999918,4513,Cases,Netherlands
84,B,3563.8982900003903,2800,Cases,Netherlands
84,C,8592.01032000035,9201,Cases,Netherlands
85,A,1839.368370000273,786,Cases,Netherlands
85,B,2870.9260899997316,2142,Cases,Netherlands
85,C,6995.093820000067,4142,Cases,Netherlands
86,A,1473.6247299998067,3129,Cases,Netherlands
86,B,2313.590450000018,3249,Cases,Netherlands
86,C,5690.924329999834,5652,Cases,Netherlands
87,A,1181.4298499999568,892,Cases,Netherlands
87,B,1865.1343100001104,2048,Cases,Netherlands
87,C,4627.056700000539,2232,Cases,Netherlands
88,A,947.7994200000539,672,Cases,Netherlands
88,B,1504.1210900000297,1819,Cases,Netherlands
88,C,3760.062810000032,6166,Cases,Netherlands
89,A,760.8453999999911,431,Cases,Netherlands
89,B,1213.3713299999945,2310,Cases,Netherlands
89,C,3054.102869999595,2908,Cases,Netherlands
90,A,611.1273799999617,587,Cases,Netherlands
90,B,979.1109799998812,937,Cases,Netherlands
90,C,2479.6819299999624,1799,Cases,Netherlands
91,A,491.1412700000219,722,Cases,Netherlands
91,B,790.2901300000958,410,Cases,Netherlands
91,C,2012.58275999967,975,Cases,Netherlands
92,A,394.9161600000225,565,Cases,Netherlands
92,B,638.0390599998645,601,Cases,Netherlands
92,C,1632.9599700002,1690,Cases,Netherlands
93,A,317.69625000003725,775,Cases,Netherlands
93,B,515.233680000063,709,Cases,Netherlands
93,C,1324.5773100005463,678,Cases,Netherlands
94,A,255.68990999972448,217,Cases,Netherlands
94,B,416.14847999997437,407,Cases,Netherlands
94,C,1074.1694899993017,877,Cases,Netherlands
95,A,205.87122000008821,117,Cases,Netherlands
95,B,336.17934000026435,579,Cases,Netherlands
95,C,870.911390000023,849,Cases,Netherlands
96,A,165.82317000022158,120,Cases,Netherlands
96,B,271.62174999993294,101,Cases,Netherlands
96,C,705.9779400005937,993,Cases,Netherlands
97,A,133.613409999758,89,Cases,Netherlands
97,B,219.4935800000094,86,Cases,Netherlands
97,C,572.1808499991894,1292,Cases,Netherlands
98,A,107.69576000003144,50,Cases,Netherlands
98,B,177.39295999985188,109,Cases,Netherlands
98,C,463.6694100005552,331,Cases,Netherlands
99,A,86.83204000024125,79,Cases,Netherlands
99,B,143.38452999992296,95,Cases,Netherlands
99,C,375.6846500001848,174,Cases,Netherlands
100,A,70.0300199999474,100,Cases,Netherlands
100,B,115.90825999993831,48,Cases,Netherlands
100,C,304.3577999994159,362,Cases,Netherlands
101,A,56.49392999988049,67,Cases,Netherlands
101,B,93.70610000006855,86,Cases,Netherlands
101,C,246.54535000026226,152,Cases,Netherlands
102,A,45.58520000008866,150,Cases,Netherlands
102,B,75.76319999992847,90,Cases,Netherlands
102,C,199.6941499998793,355,Cases,Netherlands
103,A,36.79106999980286,21,Cases,Netherlands
103,B,61.2607100000605,60,Cases,Netherlands
103,C,161.73137999977916,217,Cases,Netherlands
104,A,29.699539999943227,6,Cases,Netherlands
104,B,49.53766999999061,49,Cases,Netherlands
104,C,130.9747100006789,77,Cases,Netherlands
105,A,23.97944000037387,7,Cases,Netherlands
105,B,40.06045000022277,41,Cases,Netherlands
105,C,106.05915000010282,203,Cases,Netherlands
106,A,19.364369999617338,13,Cases,Netherlands
106,B,32.39812000002712,36,Cases,Netherlands
106,C,85.87751999963075,100,Cases,Netherlands
107,A,15.64001000020653,20,Cases,Netherlands
107,B,26.20265999995172,29,Cases,Netherlands
107,C,69.53189999982715,37,Cases,Netherlands
108,A,12.633820000104606,10,Cases,Netherlands
108,B,21.192890000063926,18,Cases,Netherlands
108,C,56.294300000183284,110,Cases,Netherlands
109,A,10.206840000115335,2,Cases,Netherlands
109,B,17.14163999957964,7,Cases,Netherlands
109,C,45.574579999782145,36,Cases,Netherlands
110,A,8.247089999727905,9,Cases,Netherlands
110,B,13.865310000255704,10,Cases,Netherlands
110,C,36.89443999994546,59,Cases,Netherlands
111,A,6.66440000012517,4,Cases,Netherlands
111,B,11.215570000000298,7,Cases,Netherlands
111,C,29.866249999962747,12,Cases,Netherlands
112,A,5.385999999940395,18,Cases,Netherlands
112,B,9.072459999937564,7,Cases,Netherlands
112,C,24.175970000214875,21,Cases,Netherlands
113,A,4.3532500001601875,4,Cases,Netherlands
113,B,7.3390500000678,7,Cases,Netherlands
113,C,19.569140000268817,10,Cases,Netherlands
114,A,3.5188400000333786,0,Cases,Netherlands
114,B,5.936979999765754,9,Cases,Netherlands
114,C,15.839649999514222,14,Cases,Netherlands
115,A,2.8445899998769164,3,Cases,Netherlands
115,B,4.802860000170767,0,Cases,Netherlands
115,C,12.820550000295043,12,Cases,Netherlands
116,A,2.299709999933839,3,Cases,Netherlands
116,B,3.8854499999433756,3,Cases,Netherlands
116,C,10.376640000380576,7,Cases,Netherlands
117,A,1.8593399999663234,2,Cases,Netherlands
117,B,3.143350000027567,3,Cases,Netherlands
117,C,8.398369999602437,6,Cases,Netherlands
118,A,1.5033800001256168,0,Cases,Netherlands
118,B,2.543010000139475,3,Cases,Netherlands
118,C,6.797120000235736,5,Cases,Netherlands
119,A,1.2156299999915063,0,Cases,Netherlands
119,B,2.057359999977052,2,Cases,Netherlands
119,C,5.50103999953717,9,Cases,Netherlands
120,A,0.9830299997702241,1,Cases,Netherlands
120,B,1.6644799998030066,3,Cases,Netherlands
120,C,4.452010000124574,0,Cases,Netherlands
121,A,0.7949500000104308,2,Cases,Netherlands
121,B,1.3466400001198053,1,Cases,Netherlands
121,C,3.6029799999669194,4,Cases,Netherlands
122,A,0.6429000003263354,1,Cases,Netherlands
122,B,1.0895000002346933,1,Cases,Netherlands
122,C,2.915810000151396,4,Cases,Netherlands
123,A,0.5199499996379018,0,Cases,Netherlands
123,B,0.8814799999818206,2,Cases,Netherlands
123,C,2.3596700001507998,1,Cases,Netherlands
124,A,0.4205300002358854,0,Cases,Netherlands
124,B,0.7131699998863041,0,Cases,Netherlands
124,C,1.9095700001344085,2,Cases,Netherlands
125,A,0.34012999990954995,0,Cases,Netherlands
125,B,0.5770100001245737,0,Cases,Netherlands
125,C,1.5453099999576807,1,Cases,Netherlands
126,A,0.2751199998892844,0,Cases,Netherlands
126,B,0.4668499999679625,0,Cases,Netherlands
126,C,1.25052999984473,2,Cases,Netherlands
127,A,0.22252000030130148,0,Cases,Netherlands
127,B,0.3777099996805191,0,Cases,Netherlands
127,C,1.0119599997997284,3,Cases,Netherlands
128,A,0.17999999970197678,1,Cases,Netherlands
128,B,0.30561000015586615,1,Cases,Netherlands
128,C,0.8189000003039837,0,Cases,Netherlands
129,A,0.14561000000685453,0,Cases,Netherlands
129,B,0.2472600000910461,0,Cases,Netherlands
129,C,0.6626599999144673,0,Cases,Netherlands
130,A,0.11777999997138977,0,Cases,Netherlands
130,B,0.20005999971181154,0,Cases,Netherlands
130,C,0.5362299997359514,0,Cases,Netherlands
131,A,0.09528000000864267,0,Cases,Netherlands
131,B,0.1618699999526143,0,Cases,Netherlands
131,C,0.4339199997484684,3,Cases,Netherlands
132,A,0.07708000019192696,0,Cases,Netherlands
132,B,0.13097000028938055,0,Cases,Netherlands
132,C,0.3511300003156066,0,Cases,Netherlands
133,A,0.06234999978914857,0,Cases,Netherlands
133,B,0.10596999991685152,0,Cases,Netherlands
133,C,0.2841300005093217,0,Cases,Netherlands
134,A,0.050440000370144844,0,Cases,Netherlands
134,B,0.08574000000953674,0,Cases,Netherlands
134,C,0.22990999929606915,0,Cases,Netherlands
135,A,0.04080999968573451,1,Cases,Netherlands
135,B,0.06937000015750527,0,Cases,Netherlands
135,C,0.18604000005871058,1,Cases,Netherlands
136,A,0.03301999997347593,0,Cases,Netherlands
136,B,0.05612999992445111,1,Cases,Netherlands
136,C,0.15053999982774258,0,Cases,Netherlands
137,A,0.026700000278651714,0,Cases,Netherlands
137,B,0.0454199998639524,0,Cases,Netherlands
137,C,0.12182000000029802,0,Cases,Netherlands
138,A,0.02160999970510602,0,Cases,Netherlands
138,B,0.036739999894052744,0,Cases,Netherlands
138,C,0.09857000038027763,0,Cases,Netherlands
139,A,0.017480000387877226,0,Cases,Netherlands
139,B,0.02973000006750226,0,Cases,Netherlands
139,C,0.07974999956786633,0,Cases,Netherlands
140,A,0.014149999711662531,0,Cases,Netherlands
140,B,0.02406000019982457,0,Cases,Netherlands
140,C,0.06454000063240528,0,Cases,Netherlands
141,A,0.011440000031143427,0,Cases,Netherlands
141,B,0.019469999708235264,0,Cases,Netherlands
141,C,0.052219999954104424,0,Cases,Netherlands
142,A,0.009260000195354223,0,Cases,Netherlands
142,B,0.01575000025331974,0,Cases,Netherlands
142,C,0.042259999550879,0,Cases,Netherlands
143,A,0.007489999756217003,0,Cases,Netherlands
143,B,0.012740000151097775,0,Cases,Netherlands
143,C,0.03419000003486872,0,Cases,Netherlands
144,A,0.006060000043362379,0,Cases,Netherlands
144,B,0.01030999980866909,0,Cases,Netherlands
144,C,0.027670000679790974,0,Cases,Netherlands
145,A,0.004900000058114529,0,Cases,Netherlands
145,B,0.008340000174939632,0,Cases,Netherlands
145,C,0.022379999980330467,0,Cases,Netherlands
146,A,0.003969999961555004,0,Cases,Netherlands
146,B,0.006749999709427357,0,Cases,Netherlands
146,C,0.018119999207556248,0,Cases,Netherlands
147,A,0.003210000228136778,0,Cases,Netherlands
147,B,0.005470000207424164,0,Cases,Netherlands
147,C,0.014650000259280205,0,Cases,Netherlands
148,A,0.002599999774247408,0,Cases,Netherlands
148,B,0.004419999662786722,0,Cases,Netherlands
148,C,0.011859999969601631,0,Cases,Netherlands
149,A,0.0021000001579523087,0,Cases,Netherlands
149,B,0.0035700001753866673,0,Cases,Netherlands
149,C,0.009600000455975533,0,Cases,Netherlands
150,A,0.0016999999061226845,0,Cases,Netherlands
150,B,0.002890000119805336,0,Cases,Netherlands
150,C,0.007770000025629997,0,Cases,Netherlands
151,A,0.001369999721646309,0,Cases,Netherlands
151,B,0.0023499997332692146,0,Cases,Netherlands
151,C,0.006279999390244484,0,Cases,Netherlands
152,A,0.001120000146329403,0,Cases,Netherlands
152,B,0.0018900004215538502,0,Cases,Netherlands
152,C,0.005080000497400761,0,Cases,Netherlands
153,A,8.999998681247234e-4,0,Cases,Netherlands
153,B,0.0015300000086426735,0,Cases,Netherlands
153,C,0.004119999706745148,0,Cases,Netherlands
154,A,7.300004363059998e-4,0,Cases,Netherlands
154,B,0.0012399996630847454,0,Cases,Netherlands
154,C,0.003320000134408474,0,Cases,Netherlands
155,A,5.799997597932816e-4,0,Cases,Netherlands
155,B,0.0010100002400577068,0,Cases,Netherlands
155,C,0.0027000000700354576,0,Cases,Netherlands
156,A,4.7999992966651917e-4,0,Cases,Netherlands
156,B,8.099996484816074e-4,1,Cases,Netherlands
156,C,0.0021799998357892036,0,Cases,Netherlands
157,A,3.900001756846905e-4,0,Cases,Netherlands
157,B,6.500002928078175e-4,0,Cases,Netherlands
157,C,0.0017600003629922867,0,Cases,Netherlands
158,A,3.100000321865082e-4,0,Cases,Netherlands
158,B,5.399999208748341e-4,0,Cases,Netherlands
158,C,0.0014299992471933365,0,Cases,Netherlands
159,A,2.500000409781933e-4,0,Cases,Netherlands
159,B,4.3000001460313797e-4,0,Cases,Netherlands
159,C,0.0011500008404254913,0,Cases,Netherlands
160,A,2.0999973639845848e-4,0,Cases,Netherlands
160,B,3.3999979496002197e-4,0,Cases,Netherlands
160,C,9.299991652369499e-4,0,Cases,Netherlands
161,A,1.600002869963646e-4,0,Cases,Netherlands
161,B,2.900003455579281e-4,0,Cases,Netherlands
161,C,7.600001990795135e-4,0,Cases,Netherlands
162,A,1.3999966904520988e-4,0,Cases,Netherlands
162,B,2.1999981254339218e-4,0,Cases,Netherlands
162,C,6.1000045388937e-4,0,Cases,Netherlands
163,A,1.000002957880497e-4,0,Cases,Netherlands
163,B,1.900000497698784e-4,0,Cases,Netherlands
163,C,5.000000819563866e-4,0,Cases,Netherlands
164,A,8.999975398182869e-5,0,Cases,Netherlands
164,B,1.500002108514309e-4,0,Cases,Netherlands
164,C,3.9999932050704956e-4,0,Cases,Netherlands
165,A,7.00000673532486e-5,0,Cases,Netherlands
165,B,1.1999998241662979e-4,0,Cases,Netherlands
165,C,3.200005739927292e-4,0,Cases,Netherlands
166,A,5.9999991208314896e-5,0,Cases,Netherlands
166,B,9.999983012676239e-5,0,Cases,Netherlands
166,C,2.60000117123127e-4,0,Cases,Netherlands
167,A,4.9999915063381195e-5,0,Cases,Netherlands
167,B,7.00000673532486e-5,0,Cases,Netherlands
167,C,2.1999981254339218e-4,0,Cases,Netherlands
168,A,3.00002284348011e-5,0,Cases,Netherlands
168,B,7.00000673532486e-5,0,Cases,Netherlands
168,C,1.6999989748001099e-4,0,Cases,Netherlands
169,A,2.9999762773513794e-5,0,Cases,Netherlands
169,B,4.9999915063381195e-5,0,Cases,Netherlands
169,C,1.400001347064972e-4,0,Cases,Netherlands
170,A,3.00002284348011e-5,0,Cases,Netherlands
170,B,3.9999838918447495e-5,0,Cases,Netherlands
170,C,1.0999944061040878e-4,0,Cases,Netherlands
171,A,1.9999686628580093e-5,0,Cases,Netherlands
171,B,4.00003045797348e-5,0,Cases,Netherlands
171,C,9.0000219643116e-5,0,Cases,Netherlands
172,A,2.00001522898674e-5,0,Cases,Netherlands
172,B,1.9999686628580093e-5,0,Cases,Netherlands
172,C,7.00000673532486e-5,0,Cases,Netherlands
173,A,1.00000761449337e-5,0,Cases,Netherlands
173,B,3.00002284348011e-5,0,Cases,Netherlands
173,C,6.00004568696022e-5,0,Cases,Netherlands
174,A,1.00000761449337e-5,0,Cases,Netherlands
174,B,1.00000761449337e-5,0,Cases,Netherlands
174,C,4.9999915063381195e-5,0,Cases,Netherlands
175,A,1.00000761449337e-5,0,Cases,Netherlands
175,B,1.9999686628580093e-5,0,Cases,Netherlands
175,C,3.999937325716019e-5,0,Cases,Netherlands
176,A,0,0,Cases,Netherlands
176,B,1.00000761449337e-5,0,Cases,Netherlands
176,C,3.000069409608841e-5,0,Cases,Netherlands
177,A,9.999610483646393e-6,0,Cases,Netherlands
177,B,1.00000761449337e-5,0,Cases,Netherlands
177,C,2.9999762773513794e-5,0,Cases,Netherlands
178,A,0,0,Cases,Netherlands
178,B,1.00000761449337e-5,0,Cases,Netherlands
178,C,2.00001522898674e-5,0,Cases,Netherlands
179,A,1.00000761449337e-5,0,Cases,Netherlands
179,B,0,0,Cases,Netherlands
179,C,9.999610483646393e-6,0,Cases,Netherlands
180,A,0,0,Cases,Netherlands
180,B,1.00000761449337e-5,0,Cases,Netherlands
180,C,2.00001522898674e-5,0,Cases,Netherlands
181,A,0,0,Cases,Netherlands
181,B,0,0,Cases,Netherlands
181,C,9.999610483646393e-6,0,Cases,Netherlands
182,A,1.00000761449337e-5,0,Cases,Netherlands
182,B,9.999610483646393e-6,0,Cases,Netherlands
182,C,1.0000541806221008e-5,0,Cases,Netherlands
183,A,0,0,Cases,Netherlands
183,B,0,0,Cases,Netherlands
183,C,0,0,Cases,Netherlands
184,A,0,0,Cases,Netherlands
184,B,0,0,Cases,Netherlands
184,C,9.999610483646393e-6,0,Cases,Netherlands
185,A,0,0,Cases,Netherlands
185,B,0,0,Cases,Netherlands
185,C,0,0,Cases,Netherlands
186,A,0,0,Cases,Netherlands
186,B,0,0,Cases,Netherlands
186,C,1.0000541806221008e-5,0,Cases,Netherlands
187,A,0,0,Cases,Netherlands
187,B,0,0,Cases,Netherlands
187,C,0,0,Cases,Netherlands
188,A,0,0,Cases,Netherlands
188,B,1.00000761449337e-5,0,Cases,Netherlands
188,C,0,0,Cases,Netherlands
